0.0013; 0.0000; 0.0013;
0.5636; 0.0000; 0.5342;
0.1933; 0.0000; 0.1921;
0.8087; 0.0000; 0.7234;
0.5850; 0.0000; 0.5522;
0.4799; 0.0000; 0.4617;
0.3503; 0.0000; 0.3432;
0.8959; 0.0000; 0.7808;
0.8228; 0.0000; 0.7331;
0.7466; 0.0000; 0.6791;
0.1741; 0.0000; 0.1732;
0.8589; 0.0000; 0.7571;
0.7105; 0.0000; 0.6522;
0.5135; 0.0000; 0.4912;
0.3040; 0.0000; 0.2993;
0.0150; 0.0000; 0.0150;
0.0914; 0.0000; 0.0913;
0.3644; 0.0000; 0.3564;
0.1473; 0.0000; 0.1468;
0.1659; 0.0000; 0.1651;
0.9885; 0.0000; 0.8352;
0.4457; 0.0000; 0.4311;
0.1191; 0.0000; 0.1188;
0.0047; 0.0000; 0.0047;
0.0089; 0.0000; 0.0089;
0.3779; 0.0000; 0.3689;
0.5316; 0.0000; 0.5070;
0.5712; 0.0000; 0.5406;
0.6017; 0.0000; 0.5661;
0.6071; 0.0000; 0.5705;
0.1662; 0.0000; 0.1655;
0.6630; 0.0000; 0.6155;
0.4508; 0.0000; 0.4357;
0.3521; 0.0000; 0.3449;
0.0570; 0.0000; 0.0570;
0.6077; 0.0000; 0.5710;
0.7833; 0.0000; 0.7056;
0.8026; 0.0000; 0.7192;
0.5199; 0.0000; 0.4968;
0.3019; 0.0000; 0.2974;
0.8759; 0.0000; 0.7681;
0.7267; 0.0000; 0.6644;
0.9559; 0.0000; 0.8168;
0.9257; 0.0000; 0.7990;
0.5393; 0.0000; 0.5136;
0.1423; 0.0000; 0.1419;
0.4621; 0.0000; 0.4458;
0.2353; 0.0000; 0.2332;
0.8622; 0.0000; 0.7593;
0.2096; 0.0000; 0.2081;
0.7796; 0.0000; 0.7030;
0.8436; 0.0000; 0.7471;
0.9968; 0.0000; 0.8397;
0.9997; 0.0000; 0.8413;
0.6115; 0.0000; 0.5741;
0.3924; 0.0000; 0.3824;
0.2662; 0.0000; 0.2631;
0.2973; 0.0000; 0.2929;
0.8401; 0.0000; 0.7447;
0.0237; 0.0000; 0.0237;
0.3759; 0.0000; 0.3671;
0.0926; 0.0000; 0.0925;
0.6772; 0.0000; 0.6266;
0.0562; 0.0000; 0.0562;
0.0088; 0.0000; 0.0088;
0.9188; 0.0000; 0.7949;
0.2759; 0.0000; 0.2724;
0.2729; 0.0000; 0.2695;
0.5879; 0.0000; 0.5546;
0.6912; 0.0000; 0.6374;
0.8376; 0.0000; 0.7430;
0.7265; 0.0000; 0.6642;
0.4849; 0.0000; 0.4661;
0.2054; 0.0000; 0.2039;
0.7437; 0.0000; 0.6770;
0.4684; 0.0000; 0.4515;
0.4579; 0.0000; 0.4421;
0.9491; 0.0000; 0.8129;
0.7444; 0.0000; 0.6775;
0.1083; 0.0000; 0.1081;
0.5990; 0.0000; 0.5638;
0.3852; 0.0000; 0.3758;
0.7350; 0.0000; 0.6706;
0.6089; 0.0000; 0.5720;
0.5724; 0.0000; 0.5416;
0.3613; 0.0000; 0.3535;
0.1516; 0.0000; 0.1510;
0.2251; 0.0000; 0.2232;
0.4251; 0.0000; 0.4124;
0.8029; 0.0000; 0.7193;
0.5171; 0.0000; 0.4944;
0.9900; 0.0000; 0.8360;
0.7515; 0.0000; 0.6828;
0.3456; 0.0000; 0.3387;
0.1690; 0.0000; 0.1682;
0.6573; 0.0000; 0.6110;
0.4919; 0.0000; 0.4723;
0.0635; 0.0000; 0.0635;
0.6997; 0.0000; 0.6440;
0.5048; 0.0000; 0.4836;
